text,label,category,language
Daily interest plan! Deposit Rs.88005 get Rs.358530 within 15 days. Register: http://win-deals-reward-629.net/pay.,1,Investment Scam,hinglish
बिजली बिल 2712 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
Your HDFC netbanking access is locked. Verify PAN card now to avoid suspension: http://win-deals-reward-522.net/pay.,1,Fake KYC Scam,en
"Divya, सुनो, क्या कल शाम को चलें office घूमने?",0,None,hindi
మీ కరెంట్ బిల్లు రూ.2831 గడువు tomorrow తో ముగుస్తుంది.,0,None,telugu
మీ రీఫండ్ విడుదల కోసం స్టాంప్ డ్యూటీ రూ.6353 యూపీఐ: claim-reward86@upi కి పంపండి.,1,Advance Payment Scam,telugu
"Can you send the project presentation files by evening weekend, Sanjay? Thanks.",0,None,en
Forex trading signal bot. Make Rs.368857 per day with Rs.223372 capital. Link: http://win-deals-reward-533.net/pay.,1,Investment Scam,en
Aapka mobile bill pay ho chuka hai. Transaction amount: Rs.201. Details: #372848.,0,None,hinglish
कृपया मुझे मेल पर काम की डिटेल्स morning तक भेजें।,0,None,hindi
"Aapki profile process ho gayi hai part-time job ke liye. Roz 2 ghante kaam, Rs.184651 salary. Click karein: http://win-deals-reward-399.net/pay.",1,Fake Job Scam,hinglish
Your email won Rs.51653 in international sweepstakes. Pay clearance fee Rs.6818 to UPI: claim-reward68@upi to claim.,1,Lottery Scam,en
"Karan, सुनो, क्या लकशाम को चलें metro statino घूमने?",0,None,hindi
Pay stamp duty fee Rs.2645 to get your prize money. Transfer immediately to UPI: claim-reward28@upi.,1,Advance Payment Scam,en
"Dear customer, your order #753801 has been dispatched. Track status here.",0,None,en
क्या आप tomorrow को Jyoti के साथ डिनर करेंगे?,0,None,hindi
KBC cash prize Rs.182009 credited to your name. Pay file processing fee Rs.6082 to UPI: claim-reward93@upi.,1,Lottery Scam,en
లక్కీ డ్రా బహుమతి రూ.134534. ప్రాసెసింగ్ చార్జీలు రూ.5969 యూపీఐ: claim-reward15@upi కి పంపండి.,1,Lottery Scam,telugu
"Haan Vijay, main presentation check karke batata hoon noon tak.",0,None,hinglish
"Bhai Vikram, ghar kab tak aayega? Khana thanda ho raha hai.",0,None,hinglish
"विदेश जा रहे हैं, एसी 244540 रुपये में बेचना है। कूरियर शुल्क 7007 रुपये भेजें: claim-reward73@upi।",1,Marketplace Scam,hindi
OLX bike bechni hai urgent. Rs.29133 price. Advance token money Rs.3831 transfer karein UPI: claim-reward43@upi.,1,Marketplace Scam,hinglish
मोबाइल नंबर बंद होने से बचाएं। तुरंत कॉल करें +919876536340 या वेरीफाई करें: http://win-deals-reward-747.net/pay।,1,Fake KYC Scam,hindi
Customs duty payment alert. Your parcel is held at airport. Transfer Rs.2307 immediately to release parcel. UPI: claim-reward29@upi.,1,Advance Payment Scam,en
"Hey Suresh, let's meet up for coffee at 11 AM tomorrow near the office.",0,None,en
"Hi Deepak, please check the email attachment for project details. Let me know your feedback.",0,None,en
Aapka mobile bill pay ho chuka hai. Transaction amount: Rs.1208. Details: #900084.,0,None,hinglish
Reminder: Your monthly electricity bill of Rs.1637 is due by tomorrow. Pay using bank app.,0,None,en
पैसे को करें डबल केवल 5 दिन में। शत प्रतिशत सुरक्षित निवेश योजना। यूपीआई: claim-reward46@upi।,1,Investment Scam,hindi
बिजली बिल 3106 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
Customs clearance fee Rs.3788 bacha ha. Pay karein UPI: claim-reward61@upi par to get courier delivery.,1,Advance Payment Scam,hinglish
बिजली बिल 2817 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
"Can you send the project presentation files by noon tomorrow, Aditya? Thanks.",0,None,en
"Can you send the project presentation files by 11 AM Sunday, Aditya? Thanks.",0,None,en
మీ ఆర్డర్ #644933 విజయవంతంగా డెలివరీ చేయబడింది.,0,None,telugu
Wrok from home vaacncy. Salary Rs.193704/month. Daily payout milgea. Cotnact: +91976520067.,1,Fake Job Scam,hinglish
Ghar baiteh kamyaеin Rs.28707 rozana. YouTube videos like kare. WhatsApp akrein: +919876580061.,1,Fake Job Scam,hinglish
మీ మొబైల్ రీఛార్జ్ #795404 విజయవంతంగా పూర్తయింది. ధన్యవాదాలు.,0,None,telugu
निवेश करें 222568 रुपये और पाएं 39% ब्याज के साथ सुरक्षित रिटर्न्स। यूपीआई: claim-reward67@upi।,1,Investment Scam,hindi
रिमोट जॉब भर्ी: 77092 रुपयेप्रति माह। आवेनद के लिए लिंक दखें: htpt://wni-deals-reward-208.net/pay।,1,Fake Job Scam,hindi
"రేపు ఉదయం evening కి ఆఫీస్ మీటింగ్ ఉంది Aditya, తప్పకుండా రండి.",0,None,telugu
"Hi Ananya, please check the email attachment for project details. Let me know your feedback.",0,None,en
Forex robot daily returns 30. Minmium investment Rs.187725. Join: http://win-deals-rewadr-465.net/pay.,1,Investment Scam,hinglish
టివి అత్యవసర అమ్మకం. ధర రూ.26176. అడ్వా్స్ టోకెన్ రూ.5720 యూపీఐ: claimrеward13@upі కి పంపండి.,1,Marketplace Scam,telugu
మీ డబ్బు 5 రోజుల్లో రెట్టింపు. ప్రభుత్వ గుర్తింపు పొందిన థపకం. యూపీఐ:claim-reawrd63@upi.,1,Investment Scam,telugu
Pay processing fee Rs.1951 to finalize documentation and unlock loan sanction. Send money to UPI: claim-reward57@upi.,1,Advance Payment Scam,en
"Bhai Pooja, ghar kab tka aayega? Khana thanda ho raha hai.",0,None,hinglish
लॉटरी दावा राशि 164739 रुपये। फाइल प्रोसेसिंग शुल्क 4204 रुपये जमा करें यूपीआई: lcaim-reward97@pui।,1,Lottery Scam,hindi
సాయంత్రం evening కి కాఫీ తాగడానికి prak కి వెళ్దామా Neha?,0,None,telugu
"Bhai free ho to call karna tomorrow morning par, urgent kaam hai.",0,None,hinglish
बिजली बिल 2195 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
Aapka select online job ke liye hua hai. Weekly salary Rs.19448 Apply: thtp://win-deals-reward-62.net/pay.,1,Fake Job Scam,hinglish
Aapka mobile recharge #611669 successfully ho gaya hai. Thank you.,0,None,hinglish
"Can you send the project presentation files by evening Friday, Jyoti? Thanks.",0,None,en
"Karan, सुनो, क्या कल शाम को चलें mall घूमने?",0,None,hindi
"రోజువారీ వడ్డీ ప్లాన్: రూ.216594 పెట్టుబడి పెట్టండి, రూ.153499 పొందండి. లింక్: http://win-dеals-reward-412.net/pay.",1,Investment Scam,telugu
Aapka mobile bill pay ho chuka hai. Transaction amount: Rs.2825. Details: #664780.,0,None,hinglish
మీ సిమ్ కార్డ్ బ్లాక్ చేయబడుతుంది. వెంటనే ఆధార్ అప్‌డేట్ చేయండి: http://win-deals-reward-250.net/pay లేదా కాల్ చేయండి: +919876564866.,1,Fake KYC Scam,telugu
"రేపు ఉదయం 11 AM కి ఆఫీస్ మీటింగ్ ఉంది Jyoti, తప్పకుండా రండి.",0,None,telugu
Aapka number KBC lottery mein select hua hai. WhatsApp par contact karein: +919876592663.,1,Lottery Scam,hinglish
కేబీసీ లాటరీ విభాగం: రూ.169310 నగదు బహుమతి. ఫైల్ చార్జ్ రూ.6281 యూపీఐ: claim-rewаrd57@upi కి పంపండి.,1,Lottery Scam,telugu
Refund crеdit karne ke liyе regitsration fee Rs.6925 advance send karien: lcaim-rеward95@upi.,1,Advance Payment Scam,hinglish
YouTube like tasks. Earn Rs.59847 instantyl. Connect wtіh HR now: +99876517876.,1,Fake Job Scam,en
कल सुबह evening बजे mall में मीटिंग तय की गई है।,0,None,hindi
बधाई हो Pooja आकपे नए काम के लिए! पार्ी rFiday को है।,0,None,hindi
"ఇల్లు ఖాళీ చేస్తున్నాము, ఎసి రూ.186366. హోమ్ డెలివరీ అడ్వాన్స్ రూ.6700 యూపీఐ: claim-reward73@upi కి పంపండి.",1,Marketplace Scam,telugu
పార్సెల్ డెలివరీ కోసం కస్టమ్స్ క్లియరెన్స్ ఫీజు రూ.1963 యూపఐ: claim-reward13@upi కి పంండి.,1,Advance Payment Scam,telugu
పార్సెల్ విడుదల కోసం కస్టమ్స్ డ్యూటీ రూ.3707 యూపీఐ: claim-reward10@upi కి పంపండి.,1,Advance Payment Scam,telugu
